"DATA";"CAV_CAL";"CAV_GRAF";"SAR_CAL";"SAR_GRAF";"BIQ_CAL";"BIQ_GRAF";"CAR_CAL";"CAR_GRAF";"OUT_CAL";"OUT_GRAF";"PORTO"
"2005-04-28";71,4;71,4;6493,6;6493,6;0;0;1568,6;1568,6;516,2;516,2;"SETUBAL"
"2005-04-28";264;264;21696;21696;0;0;225,7;225,7;76,5;76,5;"SINES"
"2005-04-28";141;141;5807;5807;10530;10530;100;100;64;64;"OLHAO"
"2005-04-29";45967,5;45967,5;0;0;0;0;2412;2412;0;0;"PENICHE"
"2005-04-29";74,4;74,4;10296;10296;0;0;80,6;80,6;24,4;24,4;"SINES"
"2005-05-01";60;60;130,6;130,6;0;0;23,6;23,6;452,9;452,9;"SETUBAL"
"2005-05-02";29677,5;29677,5;28665;28665;0;0;9576;9576;1036;1036;"PENICHE"
"2005-05-02";780;780;1560;1560;0;0;357,8;357,8;60;60;"SESIMBRA"
"2005-05-02";10,8;10,8;0;0;0;0;45,5;45,5;1116,4;1116,4;"SETUBAL"
"2005-05-02";744;744;3696;3696;0;0;0,6;0,6;74,2;74,2;"SINES"
"2005-05-02";286,6;286,6;1016,8;1016,8;0;0;444,4;444,4;0;0;"LAGOS"
"2005-05-02";56;56;0;0;0;0;2,7;2,7;783,2;783,2;"QUARTEIRA"
"2005-05-03";53167,5;53167,5;14197,5;14197,5;0;0;6804;6804;405;405;"PENICHE"
"2005-05-03";125,8;125,8;65,4;65,4;0;0;543,7;543,7;1293,4;1293,4;"SETUBAL"
"2005-05-03";19,5;19,5;7522,6;7522,6;0;0;30,6;30,6;24;24;"SINES"
"2005-05-03";1000;1000;0;0;0;0;112;112;16;16;"OLHAO"
"2005-05-03";4,4;4,4;0;0;0;0;778,3;778,3;387,7;387,7;"QUARTEIRA"
"2005-05-04";3015;3015;19102,5;19102,5;0;0;288;288;384,5;384,5;"PENICHE"
"2005-05-04";156;156;197,4;197,4;0;0;184,3;184,3;752,5;752,5;"SETUBAL"
"2005-05-04";72;72;27984;27984;0;0;17,2;17,2;182,5;182,5;"SINES"
"2005-05-04";1500;1500;0;0;0;0;622;622;15;15;"OLHAO"
"2005-05-05";136845;136845;3735;3735;0;0;8082;8082;1131;1131;"PENICHE"
"2005-05-05";44,5;44,5;43049,7;43049,7;0;0;2648,8;2648,8;0;0;"SESIMBRA"
"2005-05-05";102,5;102,5;1014;1014;0;0;108,6;108,6;958,4;958,4;"SETUBAL"
"2005-05-05";3264;3264;14328;14328;0;0;74;74;1728,9;1728,9;"SINES"
"2005-05-05";13000;13000;0;0;0;0;450;450;124,1;124,1;"OLHAO"
"2005-05-05";18,4;18,4;1560;1560;0;0;224,5;224,5;284;284;"QUARTEIRA"
"2005-05-06";76117,5;76117,5;18247,5;18247,5;0;0;7560;7560;0;0;"PENICHE"
"2005-05-06";0;0;1910;1910;0;0;2855,9;2855,9;0;0;"SESIMBRA"
"2005-05-06";3576;3576;8307,4;8307,4;0;0;156,3;156,3;63,1;63,1;"SINES"
"2005-05-06";442;442;6367;6367;0;0;1569;1569;36,9;36,9;"OLHAO"
"2005-05-06";0;0;0;0;0;0;47,8;47,8;322,3;322,3;"QUARTEIRA"
"2005-05-08";128;128;810,6;810,6;0;0;990,8;990,8;426;426;"SETUBAL"
"2005-05-09";28305;28305;57172,5;57172,5;0;0;28206;28206;1454;1454;"PENICHE"
"2005-05-09";1380;1380;860;860;0;0;2363;2363;712,3;712,3;"SESIMBRA"
"2005-05-09";0;0;63,1;63,1;0;0;1369,1;1369,1;642,1;642,1;"SETUBAL"
"2005-05-09";768,5;768,5;8976;8976;0;0;72,5;72,5;74,5;74,5;"SINES"
"2005-05-09";180;180;4620;4620;0;0;345;345;63;63;"OLHAO"
"2005-05-09";12,5;12,5;1050;1050;0;0;21,8;21,8;827,9;827,9;"QUARTEIRA"
"2005-05-10";0;0;64912,5;64912,5;0;0;18;18;0;0;"MATOSINHOS"
"2005-05-10";63900;63900;1575;1575;0;0;20106;20106;129,8;129,8;"PENICHE"
"2005-05-10";13699;13699;17380;17380;0;0;60,2;60,2;17,4;17,4;"SESIMBRA"
"2005-05-10";0;0;145,9;145,9;0;0;379,1;379,1;1058,8;1058,8;"SETUBAL"
"2005-05-10";3306;3306;26040;26040;0;0;148,5;148,5;40,4;40,4;"SINES"
"2005-05-10";11300;11300;3789;3789;0;0;46;46;8,1;8,1;"OLHAO"
"2005-05-10";48;48;517,3;517,3;0;0;10;10;56,2;56,2;"QUARTEIRA"
"2005-05-11";69975;69975;22905;22905;0;0;11934;11934;836;836;"PENICHE"
"2005-05-11";808,4;808,4;6488;6488;0;0;533,5;533,5;23,7;23,7;"SESIMBRA"
"2005-05-11";406;406;1385,5;1385,5;0;0;234,2;234,2;605,3;605,3;"SETUBAL"
"2005-05-11";1200;1200;28576,5;28576,5;0;0;166,9;166,9;76,9;76,9;"SINES"
"2005-05-11";49,7;49,7;0;0;0;0;14,7;14,7;144,6;144,6;"QUARTEIRA"
"2005-05-12";65610;65610;2902,5;2902,5;0;0;11196;11196;288;288;"PENICHE"
"2005-05-12";172,8;172,8;2860;2860;0;0;4891,1;4891,1;9,2;9,2;"SESIMBRA"
"2005-05-12";160,4;160,4;2343,8;2343,8;0;0;2298,5;2298,5;601,4;601,4;"SETUBAL"
"2005-05-12";300,1;300,1;17088;17088;0;0;99;99;79,4;79,4;"SINES"
"2005-05-12";161,4;161,4;2268,8;2268,8;0;0;11,9;11,9;729;729;"QUARTEIRA"
"2005-05-13";86220;86220;495;495;0;0;4518;4518;1,1;1,1;"PENICHE"
"2005-05-13";358;358;1792,5;1792,5;0;0;852,4;852,4;56,4;56,4;"SESIMBRA"
"2005-05-13";936;936;5448;5448;0;0;350,9;350,9;176,6;176,6;"SINES"
"2005-05-13";204,8;204,8;2685;2685;0;0;65,4;65,4;738,9;738,9;"QUARTEIRA"
"2005-05-15";447,8;447,8;921,4;921,4;0;0;950,1;950,1;140,8;140,8;"SETUBAL"
"2005-05-16";320;320;6190;6190;0;0;1739,4;1739,4;0;0;"SESIMBRA"
"2005-05-16";346;346;1524,5;1524,5;0;0;1496,4;1496,4;193,8;193,8;"SETUBAL"
"2005-05-17";407;407;1411,2;1411,2;0;0;41,5;41,5;44,8;44,8;"SETUBAL"
"2005-05-17";8,2;8,2;1300;1300;0;0;130,7;130,7;367,9;367,9;"QUARTEIRA"
"2005-05-18";135472,5;135472,5;50400;50400;0;0;2034;2034;499,5;499,5;"PENICHE"
"2005-05-18";200;200;9683,5;9683,5;0;0;87,5;87,5;15,2;15,2;"SESIMBRA"
"2005-05-18";157;157;1651,8;1651,8;0;0;36,3;36,3;242,7;242,7;"SETUBAL"
"2005-05-18";41,9;41,9;1215;1215;0;0;33,1;33,1;145,6;145,6;"QUARTEIRA"
"2005-05-19";17685;17685;54585;54585;0;0;72;72;0;0;"PENICHE"
"2005-05-19";3160;3160;7654;7654;0;0;1099,2;1099,2;0;0;"SESIMBRA"
"2005-05-19";14,7;14,7;1410,2;1410,2;0;0;56,4;56,4;740,7;740,7;"SETUBAL"
"2005-05-19";4875;4875;24670;24670;0;0;51;51;75;75;"OLHAO"
"2005-05-19";13,5;13,5;1500;1500;0;0;196,6;196,6;91,2;91,2;"QUARTEIRA"
"2005-05-20";75285;75285;1440;1440;0;0;594;594;0;0;"PENICHE"
"2005-05-20";10;10;1920;1920;0;0;437,2;437,2;80,3;80,3;"QUARTEIRA"
"2005-05-22";33,8;33,8;51,3;51,3;0;0;92,9;92,9;858;858;"SETUBAL"
"2005-05-23";41557,5;41557,5;8932,5;8932,5;0;0;16182;16182;0;0;"PENICHE"
"2005-05-23";2200;2200;26497;26497;0;0;263,5;263,5;16,5;16,5;"SESIMBRA"
"2005-05-23";0;0;2269,1;2269,1;0;0;36,5;36,5;182,9;182,9;"SETUBAL"
"2005-05-23";330;330;4145;4145;0;0;27;27;42,9;42,9;"OLHAO"
"2005-05-23";0;0;1062,4;1062,4;0;0;3,9;3,9;227,5;227,5;"QUARTEIRA"
"2005-05-24";43470;43470;25627,5;25627,5;0;0;14220;14220;0;0;"PENICHE"
"2005-05-24";162,7;162,7;1021,9;1021,9;0;0;399,3;399,3;827,6;827,6;"SETUBAL"
"2005-05-24";3880;3880;2994;2994;0;0;402;402;101,9;101,9;"OLHAO"
"2005-05-24";37,3;37,3;280;280;0;0;49,9;49,9;418,7;418,7;"QUARTEIRA"
"2005-05-26";387,6;387,6;9220,8;9220,8;0;0;72;72;624,7;624,7;"SETUBAL"
"2005-05-26";576;576;10992;10992;0;0;2832;2832;600;600;"SINES"
"2005-05-26";4261;4261;3980;3980;0;0;133;133;0;0;"OLHAO"
"2005-05-26";170,6;170,6;2621;2621;0;0;2,8;2,8;189,2;189,2;"QUARTEIRA"
"2005-05-29";288,5;288,5;3059,5;3059,5;0;0;130;130;592,6;592,6;"SETUBAL"
"2005-05-30";1292,3;1292,3;51416,8;51416,8;0;0;857,3;857,3;516;516;"SESIMBRA"
"2005-05-30";136,9;136,9;9128,7;9128,7;0;0;80,7;80,7;195,9;195,9;"SETUBAL"
"2005-05-30";1620;1620;4905;4905;0;0;125;125;37;37;"OLHAO"
